temp,length,mass
5,6.843095238,2.744746045
5,6.663333333,2.85258771
5,7.144166667,2.499455283
5,7.166071429,2.274111972
10,10.65678571,3.848346017
10,11.59404762,4.035224432
10,11.48619048,3.661532262
10,11.0677381,3.542389191
15,15.67964286,5.09666979
15,13.8027381,4.670894022
15,13.47047619,3.776576685
15,15.17214286,5.097558788
20,14.60178571,4.800098035
20,15.95095238,4.218138554
20,15.31666667,3.931299656
20,15.21690476,4.293259926
24,7.704880952,2.579361384
24,9.787261905,3.134089006
24,9.834761905,2.949204127
24,10.15761905,2.991974214
26,4.133214286,1.918781033
26,5.689047619,2.221578112
26,6.250119048,2.154181073
26,6.36452381,2.181309802
27,3.714285714,1.789454811
27,2.265714286,1.301359609
27,2.795238095,1.062046876
27,1.448095238,1.058997264
28,-1.35202381,-0.049615369
28,-6.006071429,-1.068295844
28,-2.751785714,-0.16747273
28,-1.920357143,0.377794011
29,-10.21035714,-2.207319982
29,-11.48154762,-3.499210088
29,-11.39785714,-4.107388729
29,-11.91202381,-5.262509379
