basin,temp,ind,length_mm,dw_mg,faeces_mg,grazing_squares
A-5,5,A.1,10,5.420,0.000,0
A-5,5,A.3,27,62.260,19.340,17
A-5,5,A.4,19,20.190,5.720,0
A-5,5,A.5,13,7.850,4.140,0
B-10,10,B.1,25,39.660,10.080,4
B-10,10,B.2,21,40.080,9.500,8
B-10,10,B.3,22,33.110,15.820,14
B-10,10,B.4,18,20.250,12.980,1
C-12,12,C.2,24,43.130,10.410,6
C-12,12,C.3,25,47.870,12.110,14
C-12,12,C.4,19,21.450,18.460,14
C-12,12,C.5,16,10.320,7.400,1
D-15,15,D.1,24,43.880,21.720,89
D-15,15,D.2,27,58.390,7.950,1
D-15,15,D.3,19,17.630,8.210,0
D-15,15,D.4,18,16.610,13.860,7
D-15,15,D.5,14,9.540,9.920,2
E-20,20,E.1,23,43.670,8.400,0
E-20,20,E.2,24,34.770,19.280,74
E-20,20,E.3,18,12.700,12.060,6
E-20,20,E.4,17,19.420,17.100,41
E-20,20,E.5,15,11.840,17.490,19
E-20,20,E.6,11,5.930,10.740,6
F-24,24,F.2,22,33.600,6.520,1
F-24,24,F.5,14,6.950,9.570,0
G-25,25,G.1,27,46.360,5.850,0
G-25,25,G.2,21,23.730,11.540,29
G-25,25,G.3,18,16.540,5.850,1
G-25,25,G.4,19,20.540,8.240,8
G-25,25,G.5,13,5.960,9.170,2
H-26,26,H.2,26,45.290,10.810,4
I-27,27,I.2,23,31.090,7.640,0
